subject,video_title,video_url,video_id
basic-geo,Nets Of Polyhedra,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:surface-area-with-nets/v/nets-of-polyhedra,ZACf9EecFrY
basic-geo,Identifying Corresponding Parts Of Scaled Copies,https://www.khanacademy.org/math/basic-geo/x7fa91416:scale/x7fa91416:scale-copies/v/identifying-corresponding-parts-of-scaled-copies,o07enwTfSpU
basic-geo,Introduction To Types Of Quadrilaterals,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes/x7fa91416:quadrilaterals-introduction/v/introduction-to-types-of-quadrilaterals,H-ykHosJW9c
basic-geo,Reflecting Points,https://www.khanacademy.org/math/basic-geo/basic-geo-transformations-congruence/basic-geo-reflections/v/reflecting-points,F77xiSlCehI
basic-geo,Axis Of Symmetry,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes/x7fa91416:lines-of-symmetry/v/axis-of-symmetry,LrTn4cvsewk
basic-geo,Proof Sum Of Measures Of Angles In A Triangle Are 180,https://www.khanacademy.org/math/basic-geo/x7fa91416:angle-relationships/x7fa91416:triangle-angles/v/proof-sum-of-measures-of-angles-in-a-triangle-are-180,6s1CI3uuhko
basic-geo,Scale Drawings Example,https://www.khanacademy.org/math/basic-geo/x7fa91416:scale/x7fa91416:scale-drawings/v/scale-drawings-example,byjmR7JBXKc
basic-geo,Volume Of A Rectangular Prism With Fractional Dimensions,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:rectangular-prism-volume-with-fractions/v/volume-of-a-rectangular-prism-with-fractional-dimensions,EJTPGyWqhqc
basic-geo,Constructing Right Isosceles,https://www.khanacademy.org/math/basic-geo/basic-geometry-pythagorean-theorem/x7fa91416:constructing-triangles/v/constructing-right-isosceles,lohMwoq3WFA
basic-geo,Rectangle Area As Product Of Dimensions Same As Counting Unit Squares,https://www.khanacademy.org/math/basic-geo/basic-geo-area-and-perimeter/x7fa91416:multiply-to-find-area/v/rectangle-area-as-product-of-dimensions-same-as-counting-unit-squares,DRg2VCo8lP0
basic-geo,Metric System Unit Conversion Examples,https://www.khanacademy.org/math/basic-geo/x7fa91416:units-of-measurement/x7fa91416:conversion-word-problems-larger-to-smaller/v/metric-system-unit-conversion-examples,ODJzxGj_zvU
basic-geo,How We Measure Volume,https://www.khanacademy.org/math/basic-geo/basic-geo-volume-sa/x7fa91416:volume-with-unit-cubes/v/how-we-measure-volume,xMz9WFvox9g
